City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
369,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
370,Los Llanos De Aridane,ES,2021-03-12 22:59:35,28.6585,-17.9182,64.4,72,75,8.05
371,Kushmurun,KZ,2021-03-12 23:01:47,52.4503,64.6311,-10.07,89,0,9.22
372,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
373,Verkhnyaya Maksakovka,RU,2021-03-12 23:03:17,61.635,50.9674,8.6,72,0,8.95
374,Ati,TD,2021-03-12 23:03:17,13.2154,18.3353,86.43,7,1,13.53
375,Georgetown,MY,2021-03-12 23:01:15,5.4112,100.3354,77.0,94,20,3.44
376,Bubaque,GW,2021-03-12 23:03:18,11.2833,-15.8333,78.87,63,0,10.87
377,Qaqortoq,GL,2021-03-12 23:03:04,60.7167,-46.0333,14.0,62,75,10.36
378,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
379,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
380,Saint-Joseph,RE,2021-03-12 23:03:19,-21.3667,55.6167,77.0,69,0,8.05
381,Port Alfred,ZA,2021-03-12 23:01:41,-33.5906,26.891,74.77,84,12,17.92
382,Comodoro Rivadavia,AR,2021-03-12 23:00:01,-45.8667,-67.5,71.6,37,0,10.36
383,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
384,Beyneu,KZ,2021-03-12 23:03:20,45.3167,55.2,19.81,44,100,13.69
385,Goderich,CA,2021-03-12 23:01:26,43.7501,-81.7165,32.0,64,40,17.27
386,Vila Franca Do Campo,PT,2021-03-12 23:02:34,37.7167,-25.4333,57.2,94,75,6.91
387,Vryburg,ZA,2021-03-12 23:03:21,-26.9566,24.7284,68.02,51,0,9.8
388,Armizonskoye,RU,2021-03-12 23:03:21,55.9461,67.6736,-7.62,98,20,10.51
389,Roskilde,DK,2021-03-12 23:03:22,55.6415,12.0803,37.4,93,90,11.5
390,Mahebourg,MU,2021-03-12 23:01:04,-20.4081,57.7,78.8,73,40,6.91
391,Chuy,UY,2021-03-12 23:03:23,-33.6971,-53.4616,68.32,92,17,10.18
392,Mar Del Plata,AR,2021-03-12 23:02:23,-38.0023,-57.5575,64.99,63,0,6.91
393,Dundwaraganj,IN,2021-03-12 23:03:23,27.7333,78.95,66.72,57,100,5.53
394,Nantucket,US,2021-03-12 22:59:55,41.2835,-70.0995,51.8,71,1,11.5
395,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
396,Ballina,AU,2021-03-12 23:03:24,-28.8667,153.5667,75.0,88,75,3.44
397,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
398,La Ciotat,FR,2021-03-12 23:03:25,43.1748,5.6045,53.01,61,0,8.01
399,Punta Arenas,CL,2021-03-12 23:01:19,-53.15,-70.9167,55.4,67,75,24.16
400,Dikson,RU,2021-03-12 23:01:23,73.5069,80.5464,-10.53,92,100,17.74
401,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
