City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
49,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Lebu,CL,55.27,clear sky,-37.6167,-73.65,Hostal Las Lilas
54,Suez,EG,67.57,overcast clouds,29.9737,32.5263,Green House
57,New Norfolk,AU,59.0,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
59,Hasaki,JP,55.4,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
61,Ancud,CL,42.8,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
63,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
67,Lerwick,GB,44.6,broken clouds,60.1545,-1.1494,The Lerwick Hotel
68,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
69,Cabo San Lucas,MX,53.01,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Ahipara,NZ,61.27,clear sky,-35.1667,173.1667,Ahipara Holiday Park
74,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
76,Adra,ES,61.0,clear sky,36.7496,-3.0206,Hostal Zapata
79,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
81,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
83,Oktyabrskoye,RU,42.8,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
86,Progreso,MX,70.0,clear sky,21.2833,-89.6667,Playa Linda Hotel
97,Nikolskoye,RU,37.99,overcast clouds,59.7035,30.7861,Tourist House - Sablino
103,Narsaq,GL,37.4,overcast clouds,60.9167,-46.05,Hotel Narsaq
104,Tuatapere,NZ,66.0,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
105,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
106,Lasa,IT,46.4,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
108,Alta Floresta,BR,69.8,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
113,Te Anau,NZ,58.77,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
117,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
118,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
122,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
125,Sarakhs,IR,30.2,overcast clouds,36.5449,61.1577,مهمان سرای شرکت گاز
129,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
133,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
136,Bluff,NZ,66.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
137,Nantucket,US,37.99,broken clouds,41.2835,-70.0995,Jared Coffin House
138,Punta Arenas,CL,39.2,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
146,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
148,Jalu,LY,69.82,overcast clouds,29.0331,21.5482,صاحبة الفخامة
150,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
151,Ajdabiya,LY,66.07,overcast clouds,30.7554,20.2263,Almadina Hotel
153,Andradas,BR,63.52,clear sky,-22.0681,-46.5692,Andradas Palace Hotel
155,Asau,RO,51.01,light rain,46.4333,26.4,Casa Mika Ciobanus
156,Bethel,US,36.0,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
159,Hofn,IS,32.04,light snow,64.2539,-15.2082,Hótel Höfn
160,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
161,Champerico,GT,59.0,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
163,Roald,NO,42.01,clear sky,62.5833,6.1333,Flem Cabins
164,Seddon,AU,60.01,clear sky,-37.8068,144.8916,Footscray Motor Inn
166,Coquimbo,CL,60.8,overcast clouds,-29.9533,-71.3436,Punto de encuentro
171,Ribeira Grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
172,Rawson,AR,58.59,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
174,Barsuki,RU,33.48,light snow,54.2655,37.4875,"Zagorodnyy Klub ""Berloga"""
175,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
177,Aksu,CN,67.03,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
178,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
179,Half Moon Bay,US,51.8,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
181,Kahului,US,69.8,very heavy rain,20.8947,-156.47,Maui Seaside Hotel
182,Hermanus,ZA,69.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
183,Pisco,PE,69.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
186,Punta Arenas,CL,39.2,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
187,Gawler,AU,63.0,broken clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
188,Vestmannaeyjar,IS,31.86,overcast clouds,63.4427,-20.2734,Glamping & Camping
